dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_15
saver_name_pre: wasserstein_vq_refinement_False_15_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss -2.2669, rec_loss 0.0240, lpips_loss 0.1984, g_loss -0.2615, disc_weight 0.4000, disc_adaptive_weight 10.1100, d_loss 2.3252, logits_real 0.3270, logits_fake 0.2557,
Train Epoch: [3/15] Iters:[10820/20018] gen_loss 0.0333, rec_loss 0.0276, lpips_loss 0.1785, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.1204, d_loss 0.4002, logits_real 0.0333, logits_fake 0.0336,
Train Epoch: [3/15] Iters:[10830/20018] gen_loss 0.0327, rec_loss 0.0281, lpips_loss 0.1796, g_loss -0.0338, disc_weight 0.4000, disc_adaptive_weight 5.1756, d_loss 0.4002, logits_real 0.0336, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[10840/20018] gen_loss 0.0292, rec_loss 0.0284, lpips_loss 0.1787, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 5.2385, d_loss 0.4003, logits_real 0.0337, logits_fake 0.0339,
Train Epoch: [3/15] Iters:[10850/20018] gen_loss 0.0260, rec_loss 0.0281, lpips_loss 0.1778, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 5.2940, d_loss 0.4003, logits_real 0.0336, logits_fake 0.0340,
Train Epoch: [3/15] Iters:[10860/20018] gen_loss 0.0333, rec_loss 0.0280, lpips_loss 0.1780, g_loss -0.0339, disc_weight 0.4000, disc_adaptive_weight 5.1021, d_loss 0.4002, logits_real 0.0335, logits_fake 0.0337,
Train Epoch: [3/15] Iters:[10870/20018] gen_loss 0.0343, rec_loss 0.0274, lpips_loss 0.1769, g_loss -0.0338, disc_weight 0.4000, disc_adaptive_weight 5.0328, d_loss 0.4002, logits_real 0.0335, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[10880/20018] gen_loss 0.0370, rec_loss 0.0275, lpips_loss 0.1771, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 4.9222, d_loss 0.4002, logits_real 0.0336, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[10890/20018] gen_loss 0.0454, rec_loss 0.0269, lpips_loss 0.1766, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 4.6548, d_loss 0.4002, logits_real 0.0338, logits_fake 0.0339,
Train Epoch: [3/15] Iters:[10900/20018] gen_loss 0.0516, rec_loss 0.0274, lpips_loss 0.1782, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 4.5307, d_loss 0.4002, logits_real 0.0338, logits_fake 0.0339,
Train Epoch: [3/15] Iters:[10910/20018] gen_loss 0.0484, rec_loss 0.0274, lpips_loss 0.1780, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 4.6550, d_loss 0.4002, logits_real 0.0336, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[10920/20018] gen_loss 0.0494, rec_loss 0.0273, lpips_loss 0.1785, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 4.6929, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[10930/20018] gen_loss 0.0551, rec_loss 0.0272, lpips_loss 0.1775, g_loss -0.0329, disc_weight 0.4000, disc_adaptive_weight 4.5531, d_loss 0.4002, logits_real 0.0329, logits_fake 0.0330,
Train Epoch: [3/15] Iters:[10940/20018] gen_loss 0.0463, rec_loss 0.0272, lpips_loss 0.1771, g_loss -0.0328, disc_weight 0.4000, disc_adaptive_weight 4.8223, d_loss 0.4002, logits_real 0.0325, logits_fake 0.0328,
Train Epoch: [3/15] Iters:[10950/20018] gen_loss 0.0328, rec_loss 0.0271, lpips_loss 0.1760, g_loss -0.0327, disc_weight 0.4000, disc_adaptive_weight 5.2042, d_loss 0.4003, logits_real 0.0325, logits_fake 0.0328,
Train Epoch: [3/15] Iters:[10960/20018] gen_loss 0.0375, rec_loss 0.0269, lpips_loss 0.1750, g_loss -0.0328, disc_weight 0.4000, disc_adaptive_weight 5.0135, d_loss 0.4003, logits_real 0.0325, logits_fake 0.0328,
Train Epoch: [3/15] Iters:[10970/20018] gen_loss 0.0383, rec_loss 0.0267, lpips_loss 0.1750, g_loss -0.0329, disc_weight 0.4000, disc_adaptive_weight 4.9661, d_loss 0.4003, logits_real 0.0325, logits_fake 0.0330,
Train Epoch: [3/15] Iters:[10980/20018] gen_loss 0.0341, rec_loss 0.0260, lpips_loss 0.1750, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 5.0340, d_loss 0.4003, logits_real 0.0327, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[10990/20018] gen_loss 0.0400, rec_loss 0.0259, lpips_loss 0.1749, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 4.8318, d_loss 0.4003, logits_real 0.0328, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[11000/20018] gen_loss 0.0477, rec_loss 0.0259, lpips_loss 0.1745, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.5599, d_loss 0.4002, logits_real 0.0330, logits_fake 0.0332,
Train Epoch: [3/15] Iters:[11010/20018] gen_loss 0.0452, rec_loss 0.0260, lpips_loss 0.1754, g_loss -0.0336, disc_weight 0.4000, disc_adaptive_weight 4.6467, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11020/20018] gen_loss 0.0456, rec_loss 0.0268, lpips_loss 0.1764, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 4.6771, d_loss 0.4002, logits_real 0.0335, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11030/20018] gen_loss 0.0435, rec_loss 0.0276, lpips_loss 0.1777, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 4.7960, d_loss 0.4002, logits_real 0.0334, logits_fake 0.0336,
Train Epoch: [3/15] Iters:[11040/20018] gen_loss 0.0364, rec_loss 0.0275, lpips_loss 0.1776, g_loss -0.0339, disc_weight 0.4000, disc_adaptive_weight 4.9791, d_loss 0.4002, logits_real 0.0337, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[11050/20018] gen_loss 0.0322, rec_loss 0.0274, lpips_loss 0.1782, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 5.1090, d_loss 0.4002, logits_real 0.0338, logits_fake 0.0339,
Train Epoch: [3/15] Iters:[11060/20018] gen_loss 0.0315, rec_loss 0.0274, lpips_loss 0.1774, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 5.0908, d_loss 0.4002, logits_real 0.0338, logits_fake 0.0341,
Train Epoch: [3/15] Iters:[11070/20018] gen_loss 0.0218, rec_loss 0.0262, lpips_loss 0.1745, g_loss -0.0342, disc_weight 0.4000, disc_adaptive_weight 5.2431, d_loss 0.4003, logits_real 0.0338, logits_fake 0.0343,
Train Epoch: [3/15] Iters:[11080/20018] gen_loss 0.0230, rec_loss 0.0260, lpips_loss 0.1738, g_loss -0.0341, disc_weight 0.4000, disc_adaptive_weight 5.1845, d_loss 0.4003, logits_real 0.0338, logits_fake 0.0343,
Train Epoch: [3/15] Iters:[11090/20018] gen_loss 0.0266, rec_loss 0.0260, lpips_loss 0.1740, g_loss -0.0342, disc_weight 0.4000, disc_adaptive_weight 5.0769, d_loss 0.4003, logits_real 0.0338, logits_fake 0.0344,
Train Epoch: [3/15] Iters:[11100/20018] gen_loss 0.0236, rec_loss 0.0263, lpips_loss 0.1744, g_loss -0.0343, disc_weight 0.4000, disc_adaptive_weight 5.1627, d_loss 0.4004, logits_real 0.0338, logits_fake 0.0346,
Train Epoch: [3/15] Iters:[11110/20018] gen_loss 0.0246, rec_loss 0.0265, lpips_loss 0.1751, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 5.1363, d_loss 0.4003, logits_real 0.0340, logits_fake 0.0346,
Train Epoch: [3/15] Iters:[11120/20018] gen_loss 0.0301, rec_loss 0.0271, lpips_loss 0.1771, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 5.0314, d_loss 0.4003, logits_real 0.0342, logits_fake 0.0346,
Train Epoch: [3/15] Iters:[11130/20018] gen_loss 0.0319, rec_loss 0.0272, lpips_loss 0.1777, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 5.0137, d_loss 0.4003, logits_real 0.0340, logits_fake 0.0345,
Train Epoch: [3/15] Iters:[11140/20018] gen_loss 0.0211, rec_loss 0.0272, lpips_loss 0.1769, g_loss -0.0342, disc_weight 0.4000, disc_adaptive_weight 5.3598, d_loss 0.4003, logits_real 0.0336, logits_fake 0.0341,
Train Epoch: [3/15] Iters:[11150/20018] gen_loss 0.0291, rec_loss 0.0270, lpips_loss 0.1767, g_loss -0.0339, disc_weight 0.4000, disc_adaptive_weight 5.1544, d_loss 0.4002, logits_real 0.0335, logits_fake 0.0337,
Train Epoch: [3/15] Iters:[11160/20018] gen_loss 0.0192, rec_loss 0.0270, lpips_loss 0.1761, g_loss -0.0336, disc_weight 0.4000, disc_adaptive_weight 5.4813, d_loss 0.4003, logits_real 0.0331, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11170/20018] gen_loss 0.0206, rec_loss 0.0270, lpips_loss 0.1760, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.4870, d_loss 0.4003, logits_real 0.0328, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11180/20018] gen_loss 0.0162, rec_loss 0.0269, lpips_loss 0.1755, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 5.6187, d_loss 0.4003, logits_real 0.0328, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[11190/20018] gen_loss 0.0167, rec_loss 0.0271, lpips_loss 0.1774, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 5.6571, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11200/20018] gen_loss 0.0170, rec_loss 0.0267, lpips_loss 0.1766, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.6026, d_loss 0.4003, logits_real 0.0330, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11210/20018] gen_loss 0.0290, rec_loss 0.0262, lpips_loss 0.1762, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.2065, d_loss 0.4003, logits_real 0.0332, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11220/20018] gen_loss 0.0266, rec_loss 0.0263, lpips_loss 0.1763, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.2837, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11230/20018] gen_loss 0.0316, rec_loss 0.0262, lpips_loss 0.1760, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 5.1056, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11240/20018] gen_loss 0.0422, rec_loss 0.0262, lpips_loss 0.1757, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 4.8014, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11250/20018] gen_loss 0.0366, rec_loss 0.0263, lpips_loss 0.1761, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 4.9763, d_loss 0.4003, logits_real 0.0330, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11260/20018] gen_loss 0.0339, rec_loss 0.0266, lpips_loss 0.1772, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.0913, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11270/20018] gen_loss 0.0366, rec_loss 0.0263, lpips_loss 0.1765, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.9593, d_loss 0.4003, logits_real 0.0330, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11280/20018] gen_loss 0.0370, rec_loss 0.0265, lpips_loss 0.1772, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 4.9952, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11290/20018] gen_loss 0.0399, rec_loss 0.0268, lpips_loss 0.1771, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.8905, d_loss 0.4003, logits_real 0.0330, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11300/20018] gen_loss 0.0452, rec_loss 0.0271, lpips_loss 0.1776, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.7586, d_loss 0.4003, logits_real 0.0332, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11310/20018] gen_loss 0.0417, rec_loss 0.0275, lpips_loss 0.1780, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 4.9134, d_loss 0.4002, logits_real 0.0331, logits_fake 0.0332,
Train Epoch: [3/15] Iters:[11320/20018] gen_loss 0.0386, rec_loss 0.0281, lpips_loss 0.1787, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.0555, d_loss 0.4002, logits_real 0.0331, logits_fake 0.0332,
Train Epoch: [3/15] Iters:[11330/20018] gen_loss 0.0339, rec_loss 0.0280, lpips_loss 0.1788, g_loss -0.0336, disc_weight 0.4000, disc_adaptive_weight 5.1557, d_loss 0.4003, logits_real 0.0333, logits_fake 0.0336,
Train Epoch: [3/15] Iters:[11340/20018] gen_loss 0.0353, rec_loss 0.0273, lpips_loss 0.1785, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.0686, d_loss 0.4002, logits_real 0.0336, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[11350/20018] gen_loss 0.0373, rec_loss 0.0273, lpips_loss 0.1784, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 4.9743, d_loss 0.4002, logits_real 0.0340, logits_fake 0.0341,
Train Epoch: [3/15] Iters:[11360/20018] gen_loss 0.0340, rec_loss 0.0273, lpips_loss 0.1780, g_loss -0.0343, disc_weight 0.4000, disc_adaptive_weight 5.0178, d_loss 0.4002, logits_real 0.0342, logits_fake 0.0344,
Train Epoch: [3/15] Iters:[11370/20018] gen_loss 0.0242, rec_loss 0.0267, lpips_loss 0.1781, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 5.2613, d_loss 0.4002, logits_real 0.0344, logits_fake 0.0345,
Train Epoch: [3/15] Iters:[11380/20018] gen_loss 0.0231, rec_loss 0.0270, lpips_loss 0.1778, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 5.2498, d_loss 0.4002, logits_real 0.0347, logits_fake 0.0348,
Train Epoch: [3/15] Iters:[11390/20018] gen_loss 0.0156, rec_loss 0.0277, lpips_loss 0.1784, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 5.4994, d_loss 0.4002, logits_real 0.0346, logits_fake 0.0348,
Train Epoch: [3/15] Iters:[11400/20018] gen_loss 0.0062, rec_loss 0.0275, lpips_loss 0.1781, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 5.7778, d_loss 0.4003, logits_real 0.0342, logits_fake 0.0346,
Train Epoch: [3/15] Iters:[11410/20018] gen_loss -0.0033, rec_loss 0.0276, lpips_loss 0.1777, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 6.0473, d_loss 0.4003, logits_real 0.0342, logits_fake 0.0347,
Train Epoch: [3/15] Iters:[11420/20018] gen_loss 0.0029, rec_loss 0.0279, lpips_loss 0.1775, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 5.8736, d_loss 0.4003, logits_real 0.0341, logits_fake 0.0346,
Train Epoch: [3/15] Iters:[11430/20018] gen_loss 0.0041, rec_loss 0.0279, lpips_loss 0.1774, g_loss -0.0342, disc_weight 0.4000, disc_adaptive_weight 5.8808, d_loss 0.4003, logits_real 0.0338, logits_fake 0.0342,
Train Epoch: [3/15] Iters:[11440/20018] gen_loss 0.0022, rec_loss 0.0274, lpips_loss 0.1761, g_loss -0.0341, disc_weight 0.4000, disc_adaptive_weight 5.9153, d_loss 0.4003, logits_real 0.0337, logits_fake 0.0341,
Train Epoch: [3/15] Iters:[11450/20018] gen_loss 0.0055, rec_loss 0.0275, lpips_loss 0.1765, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 5.8480, d_loss 0.4003, logits_real 0.0337, logits_fake 0.0340,
Train Epoch: [3/15] Iters:[11460/20018] gen_loss 0.0205, rec_loss 0.0268, lpips_loss 0.1758, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.4014, d_loss 0.4003, logits_real 0.0335, logits_fake 0.0337,
Train Epoch: [3/15] Iters:[11470/20018] gen_loss 0.0284, rec_loss 0.0271, lpips_loss 0.1761, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.2004, d_loss 0.4003, logits_real 0.0335, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[11480/20018] gen_loss 0.0280, rec_loss 0.0271, lpips_loss 0.1772, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.2283, d_loss 0.4002, logits_real 0.0337, logits_fake 0.0339,
Train Epoch: [3/15] Iters:[11490/20018] gen_loss 0.0314, rec_loss 0.0274, lpips_loss 0.1785, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.1753, d_loss 0.4002, logits_real 0.0336, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[11500/20018] gen_loss 0.0341, rec_loss 0.0275, lpips_loss 0.1772, g_loss -0.0336, disc_weight 0.4000, disc_adaptive_weight 5.0715, d_loss 0.4003, logits_real 0.0334, logits_fake 0.0337,
Train Epoch: [3/15] Iters:[11510/20018] gen_loss 0.0338, rec_loss 0.0275, lpips_loss 0.1780, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 5.1262, d_loss 0.4002, logits_real 0.0333, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11520/20018] gen_loss 0.0339, rec_loss 0.0272, lpips_loss 0.1776, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 5.1145, d_loss 0.4002, logits_real 0.0331, logits_fake 0.0332,
Train Epoch: [3/15] Iters:[11530/20018] gen_loss 0.0429, rec_loss 0.0269, lpips_loss 0.1756, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 4.8061, d_loss 0.4002, logits_real 0.0329, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[11540/20018] gen_loss 0.0418, rec_loss 0.0265, lpips_loss 0.1744, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 4.7973, d_loss 0.4002, logits_real 0.0330, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[11550/20018] gen_loss 0.0356, rec_loss 0.0263, lpips_loss 0.1750, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 4.9829, d_loss 0.4002, logits_real 0.0330, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11560/20018] gen_loss 0.0366, rec_loss 0.0265, lpips_loss 0.1754, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 4.9340, d_loss 0.4002, logits_real 0.0333, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11570/20018] gen_loss 0.0311, rec_loss 0.0266, lpips_loss 0.1756, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.0775, d_loss 0.4002, logits_real 0.0335, logits_fake 0.0338,
Train Epoch: [3/15] Iters:[11580/20018] gen_loss 0.0264, rec_loss 0.0268, lpips_loss 0.1771, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 5.2630, d_loss 0.4002, logits_real 0.0337, logits_fake 0.0337,
Train Epoch: [3/15] Iters:[11590/20018] gen_loss 0.0278, rec_loss 0.0267, lpips_loss 0.1765, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 5.2336, d_loss 0.4002, logits_real 0.0334, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11600/20018] gen_loss 0.0303, rec_loss 0.0268, lpips_loss 0.1767, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.2100, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11610/20018] gen_loss 0.0285, rec_loss 0.0273, lpips_loss 0.1771, g_loss -0.0331, disc_weight 0.4000, disc_adaptive_weight 5.3210, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0332,
Train Epoch: [3/15] Iters:[11620/20018] gen_loss 0.0340, rec_loss 0.0273, lpips_loss 0.1771, g_loss -0.0329, disc_weight 0.4000, disc_adaptive_weight 5.1900, d_loss 0.4003, logits_real 0.0326, logits_fake 0.0329,
Train Epoch: [3/15] Iters:[11630/20018] gen_loss 0.0379, rec_loss 0.0271, lpips_loss 0.1768, g_loss -0.0326, disc_weight 0.4000, disc_adaptive_weight 5.0963, d_loss 0.4003, logits_real 0.0324, logits_fake 0.0327,
Train Epoch: [3/15] Iters:[11640/20018] gen_loss 0.0378, rec_loss 0.0276, lpips_loss 0.1780, g_loss -0.0325, disc_weight 0.4000, disc_adaptive_weight 5.1673, d_loss 0.4003, logits_real 0.0323, logits_fake 0.0326,
Train Epoch: [3/15] Iters:[11650/20018] gen_loss 0.0401, rec_loss 0.0277, lpips_loss 0.1772, g_loss -0.0323, disc_weight 0.4000, disc_adaptive_weight 5.0979, d_loss 0.4003, logits_real 0.0322, logits_fake 0.0324,
Train Epoch: [3/15] Iters:[11660/20018] gen_loss 0.0455, rec_loss 0.0273, lpips_loss 0.1768, g_loss -0.0323, disc_weight 0.4000, disc_adaptive_weight 4.9146, d_loss 0.4002, logits_real 0.0322, logits_fake 0.0323,
Train Epoch: [3/15] Iters:[11670/20018] gen_loss 0.0453, rec_loss 0.0275, lpips_loss 0.1761, g_loss -0.0322, disc_weight 0.4000, disc_adaptive_weight 4.9212, d_loss 0.4003, logits_real 0.0321, logits_fake 0.0323,
Train Epoch: [3/15] Iters:[11680/20018] gen_loss 0.0466, rec_loss 0.0273, lpips_loss 0.1754, g_loss -0.0320, disc_weight 0.4000, disc_adaptive_weight 4.8793, d_loss 0.4003, logits_real 0.0316, logits_fake 0.0321,
Train Epoch: [3/15] Iters:[11690/20018] gen_loss 0.0477, rec_loss 0.0272, lpips_loss 0.1756, g_loss -0.0320, disc_weight 0.4000, disc_adaptive_weight 4.8573, d_loss 0.4003, logits_real 0.0316, logits_fake 0.0320,
Train Epoch: [3/15] Iters:[11700/20018] gen_loss 0.0425, rec_loss 0.0272, lpips_loss 0.1761, g_loss -0.0320, disc_weight 0.4000, disc_adaptive_weight 5.0291, d_loss 0.4003, logits_real 0.0316, logits_fake 0.0320,
Train Epoch: [3/15] Iters:[11710/20018] gen_loss 0.0373, rec_loss 0.0272, lpips_loss 0.1760, g_loss -0.0321, disc_weight 0.4000, disc_adaptive_weight 5.1691, d_loss 0.4003, logits_real 0.0317, logits_fake 0.0323,
Train Epoch: [3/15] Iters:[11720/20018] gen_loss 0.0297, rec_loss 0.0276, lpips_loss 0.1778, g_loss -0.0324, disc_weight 0.4000, disc_adaptive_weight 5.4256, d_loss 0.4003, logits_real 0.0321, logits_fake 0.0326,
Train Epoch: [3/15] Iters:[11730/20018] gen_loss 0.0176, rec_loss 0.0280, lpips_loss 0.1788, g_loss -0.0327, disc_weight 0.4000, disc_adaptive_weight 5.7865, d_loss 0.4003, logits_real 0.0325, logits_fake 0.0329,
Train Epoch: [3/15] Iters:[11740/20018] gen_loss 0.0127, rec_loss 0.0279, lpips_loss 0.1787, g_loss -0.0329, disc_weight 0.4000, disc_adaptive_weight 5.8956, d_loss 0.4003, logits_real 0.0327, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11750/20018] gen_loss 0.0048, rec_loss 0.0274, lpips_loss 0.1778, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 6.0337, d_loss 0.4003, logits_real 0.0330, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11760/20018] gen_loss 0.0050, rec_loss 0.0273, lpips_loss 0.1772, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 5.9674, d_loss 0.4002, logits_real 0.0332, logits_fake 0.0335,
Train Epoch: [3/15] Iters:[11770/20018] gen_loss 0.0030, rec_loss 0.0267, lpips_loss 0.1761, g_loss -0.0334, disc_weight 0.4000, disc_adaptive_weight 5.9833, d_loss 0.4003, logits_real 0.0331, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11780/20018] gen_loss 0.0102, rec_loss 0.0265, lpips_loss 0.1752, g_loss -0.0333, disc_weight 0.4000, disc_adaptive_weight 5.7447, d_loss 0.4002, logits_real 0.0331, logits_fake 0.0334,
Train Epoch: [3/15] Iters:[11790/20018] gen_loss 0.0117, rec_loss 0.0265, lpips_loss 0.1742, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 5.6415, d_loss 0.4002, logits_real 0.0331, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11800/20018] gen_loss 0.0266, rec_loss 0.0271, lpips_loss 0.1761, g_loss -0.0335, disc_weight 0.4000, disc_adaptive_weight 5.2761, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0333,
Train Epoch: [3/15] Iters:[11810/20018] gen_loss 0.0332, rec_loss 0.0270, lpips_loss 0.1769, g_loss -0.0331, disc_weight 0.4000, disc_adaptive_weight 5.1480, d_loss 0.4003, logits_real 0.0328, logits_fake 0.0331,
Train Epoch: [3/15] Iters:[11820/20018] gen_loss 0.0403, rec_loss 0.0268, lpips_loss 0.1763, g_loss -0.0332, disc_weight 0.4000, disc_adaptive_weight 4.9029, d_loss 0.4003, logits_real 0.0329, logits_fake 0.0332,
